id,sid1,sid2,sentence1,sentence2,is_duplicate
134,269,270,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,0
135,271,272,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,0
136,273,274,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,0
137,275,276,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,0
138,277,278,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,0
139,279,280,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,1
140,281,282,Two dogs are running and carrying toys in their mouths,Two dogs are running and carrying objects in their mouths,1
141,283,284,A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,0
142,285,286,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,0
143,287,288,A dog is chasing another and is holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,0
144,289,290,A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,1
145,291,292,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,0
146,293,294,A person who plays soccer is kicking a ball into the goal,A soccer player scored a goal,1
147,295,296,A soccer ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,0
148,297,298,A soccer ball is rolling out the field,A soccer player is kicking the ball out the field,1
149,299,300,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,0
150,301,302,A man with tattoos is lounging on a couch and holding a pencil,A tattooed man is on a sofa and is holding a pencil,1
151,303,304,A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,0
152,305,306,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,0
153,307,308,A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,0
154,309,310,A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,0
155,311,312,A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,0
156,313,314,A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,0
157,315,316,A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,0
158,317,318,A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,0
159,319,320,A white and tan dog is running through the tall and green grass,A brown and white dog is running through the tall grass,1
160,321,322,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area is writing something,1
161,323,324,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clean clothes and is sitting outside in a busy area,1
162,325,326,A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0
163,327,328,A man is sitting near a bike and is writing a note,There is a man writing a note near a bike,1
164,329,330,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,0
165,331,332,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0
166,333,334,A man is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,0
167,335,336,A group of scouts are camping in the grass,A group of scouts are hiking through the grass,0
168,337,338,Some people are walking,People are walking,1
169,339,340,Some people are walking,A group of scouts are camping in the grass,0
170,341,342,A group of scouts are hiking through the grass,Some people are walking,0
171,343,344,Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,0
172,345,346,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,0
173,347,348,Two men are holding fishing poles and fishing tackle,Two men are holding fishing equipment,1
174,349,350,Two men are not holding fishing poles,Two men are holding fishing poles,0
175,351,352,Two men are holding fishing poles and fish,Two men are standing near the water with fish in their fishing poles,1
176,353,354,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,0
177,355,356,The helmeted girl is riding a bike,The helmeted girl is biking,1
178,357,358,A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bike on a ramp,1
179,359,360,A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,0
180,361,362,The helmeted girl is perching on a bike,A woman is performing a trick on a ramp with a car,0
181,363,364,The girl with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,0
182,365,366,The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,0
183,367,368,A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,0
184,369,370,A blonde girl is surfing,A blond girl is riding the waves,1
185,371,372,A lady is surfing and riding a wave,A boy is surfing and riding a wave,0
186,373,374,A woman is surfing,A blond girl is riding the waves,0
187,375,376,A lady is surfing and riding a wave,A blonds girl is surfing,0
188,377,378,A blond girl waves while she is riding,A lady is surfing and riding a wave,0
189,379,380,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,0
190,381,382,Two children and an adult are standing next to a tree limb,Two children are climbing a tree,0
191,383,384,Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,0
192,385,386,A man dressed in black is riding a bike,A man is performing a trick on a bike,0
193,387,388,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,1
194,389,390,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,0
195,391,392,A boy is holding a squirt gun,A child is holding a squirt gun,1
196,393,394,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,0
197,395,396,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,0
198,397,398,A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,0
199,399,400,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,1
200,401,402,Two cats are playing with a red ball,Two daschunds are playing with a red ball,0
201,403,404,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,0
202,405,406,There is no dog playing with a red ball,Two daschunds are playing with a red ball,0
203,407,408,The black and white dog is running and a person stands behind it,"The dog, which is black and white, is running and a person stands behind it",1
204,409,410,A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it,1
205,411,412,The black and white dog is running and a person stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,0
206,413,414,The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,0
207,415,416,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,0
208,417,418,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,0
209,419,420,A man wearing a dyed black shirt is sitting at the table and laughing,A black shirt is being worn by a man who is sitting at the table and laughing,1
210,421,422,A man wearing a dyed black shirt is sitting at the table and laughing,"There is no man wearing a shirt dyed black, sitting at the table and laughing",0
211,423,424,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,0
212,425,426,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,0
213,427,428,A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,0
214,429,430,A man is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,0
215,431,432,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,1
216,433,434,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,0
217,435,436,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",0
218,437,438,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",0
219,439,440,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",0
220,441,442,"A person, who is riding a bike, is wearing gear which is black",A biker is wearing black gear,1
221,443,444,A biker is naked,A biker is wearing gear which is black,0
222,445,446,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,1
223,447,448,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,0
224,449,450,One man is wearing a black helmet and pushing a bicycle,A biker is naked,0
225,451,452,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,1
226,453,454,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,0
227,455,456,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,0
228,457,458,A woman is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,0
229,459,460,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,0
230,461,462,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,0
231,463,464,A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,0
232,465,466,"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,0
233,467,468,A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",0
234,469,470,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,1
235,471,472,A dark black dog and a light brown dog are playing in the yard in the back,"A dog, which is brown, and a black one are running in the grass",0
236,473,474,A dark black dog and a light brown dog are fighting in the backyard,"A dog, which is brown, and a black one are running in the grass",0
237,475,476,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,0
238,477,478,A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,0
239,479,480,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is lounging in shallow water,1
240,481,482,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,1
241,483,484,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,0
242,485,486,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,0
243,487,488,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,0
244,489,490,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,0
245,491,492,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",0
246,493,494,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",0
247,495,496,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,0
248,497,498,"A young lady with light brown hair is wearing a red necklace, a sweatshirt, and earrings and is smiling","A smiling lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings",1
249,499,500,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",0
250,501,502,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",0
251,503,504,"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,0
252,505,506,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",The teenage girl is wearing beads that are red,0
253,507,508,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",0
254,509,510,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,0
255,511,512,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,0
256,513,514,A fearful little boy is on a climbing wall,A frightened boy is climbing up a wall artificially built for climbing and is attached to a rope,1
257,515,516,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,0
258,517,518,A dad is launching his little girl into a swimming pool,A father is launching the daughter in a swimming pool,1
259,519,520,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,0
260,521,522,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,1
261,523,524,The man is tossing a kid into the swimming pool that is near the ocean,"A kid swimming in the ocean is tossing a coin into the pool, near the man",0
262,525,526,One man is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,0
263,527,528,"A kid swimming in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,0
264,529,530,A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,0
265,531,532,A father is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,0
266,533,534,A social climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope,0
267,535,536,"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",0
268,537,538,"A rock is being climbed by a person with a rope, which is pink",One man is climbing a cliff with a pink rope,1
269,539,540,One man is climbing a cliff with a rope,"A person is standing in front of a rock with a rope, which is pink",0
270,541,542,One woman is climbing the cliff with a rope,A lady is climbing a rock with a rope,1
271,543,544,"A person is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope,0
272,545,546,"A person is climbing a rock with a rope, which is pink",A social climber is tying a man to a cliff with a rope,0
273,547,548,A young child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,0
274,549,550,A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,0
275,551,552,One young boy is climbing a cliff,A young child is escalating a rock,1
276,553,554,A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,0
277,555,556,The cyclist is performing a trick in the air,The cyclist isn't performing a trick in the air,0
278,557,558,One man is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air,0
279,559,560,One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,0
280,561,562,"A dog, which is black, and a white one are staring at each other in the street",A black dog and a white one are staring at each other in the street,1
281,563,564,"A dog, which is black, and a white one are staring at each other in the street",One white dog is staring at the black street,0
282,565,566,Two dogs of different breeds are looking angrily at each other across a street,Two different dogs are furiously looking at each other across a street,1
283,567,568,Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,0
284,569,570,"A dog next to a tree, which is probably a pine, is dropping a bucket","A dog next to a tree, which is probably a pine, is biting a bucket",0
285,571,572,"A dog next to a tree, which is probably a pine, is biting a bucket",A dog in a bucket is biting a tree which is probably a pine,0
286,573,574,A dog which is furry and black is in a backyard and is carrying a basket,A furry and black dog is in a backyard and is carrying a basket in its mouth,1
287,575,576,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,0
288,577,578,"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,0
289,579,580,A dog in the backyard is carrying black fur in a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket",0
290,581,582,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",0
291,583,584,Two large persons are sitting on a park bench and they have a bottle of soda between them,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,1
292,585,586,Two large persons are sitting on a park bench,Two large persons are standing on a bench,1
293,587,588,Two large park benches have a person sitting and a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,0
294,589,590,A man and a woman are sitting comfortably on the bench,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,0
295,591,592,The man is racing for the lead ,A man is leading the race,0
296,593,594,A few men in a competition are running outside,One man is leading the race,0
297,595,596,A man is bringing up the rear of the race,A few men in a competition are running outside,0
298,597,598,A few men in a competition are running outside,A man is leading the race,0
299,599,600,A man with a camera is studying the subject,There is no man with a camera studying the subject,0
300,601,602,A man with a camera is studying the subject,The study subject is a camera man,0
301,603,604,The man with the dyed purple hat is operating a camera that makes videos,The man with the purple hat is making videos with a camera,1
302,605,606,The man in the purple hat isn't operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,0
303,607,608,The man with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,0
304,609,610,A man with a camera is studying the subject,The man in the purple hat isn't operating a camera that makes videos,0
305,611,612,The man in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera,0
306,613,614,The man in the purple hat is operating a camera that makes videos,There is no man with a camera studying the subject,0
